Lon,Lat,Mag,Grav_1vd
140.5873524,-20.88403025,663.1280518,-1987.691284
140.5881857,-20.88403025,814.7261963,-1987.691284
140.589019,-20.88403025,1118.788696,-1987.691284
140.5898523,-20.88403025,1520.250122,-1637.674194
140.5906856,-20.88403025,1727.560669,-1637.674194
140.5915189,-20.88403025,1581.852905,-1637.674194
140.5923522,-20.88403025,1296.386108,-1637.674194
140.5931855,-20.88403025,1052.45398,-1637.674194
140.5940188,-20.88403025,891.4768066,-1272.162598
140.5948521,-20.88403025,957.1759033,-1272.162598
140.5956854,-20.88403025,1384.25,-1272.162598
140.5965187,-20.88403025,1892.826904,-1272.162598
140.597352,-20.88403025,2146.952148,-1272.162598
140.5981853,-20.88403025,1995.11084,-950.1714478
140.5990186,-20.88403025,1483.343506,-950.1714478
140.5998519,-20.88403025,950.5377808,-950.1714478
140.6006852,-20.88403025,674.956604,-950.1714478
140.6015185,-20.88403025,591.0302734,-950.1714478
140.6023518,-20.88403025,567.3463135,-708.6248169
140.6031851,-20.88403025,551.5786133,-708.6248169
140.6040184,-20.88403025,533.4174805,-708.6248169
140.6048517,-20.88403025,513.5663452,-708.6248169
140.605685,-20.88403025,494.8549805,-708.6248169
140.6065183,-20.88403025,478.1529846,-541.0403442
140.6073516,-20.88403025,464.910614,-541.0403442
140.6081849,-20.88403025,456.299408,-541.0403442
140.6090182,-20.88403025,459.3463135,-541.0403442
140.6098515,-20.88403025,495.3746948,-541.0403442
140.6106848,-20.88403025,555.2199097,-444.077301
140.6115181,-20.88403025,657.2848511,-444.077301
140.6123514,-20.88403025,877.2376709,-444.077301
140.6131847,-20.88403025,1068.412842,-444.077301
140.614018,-20.88403025,1053.876831,-444.077301
140.6148513,-20.88403025,889.3803101,-425.8327026
140.6156846,-20.88403025,709.3071899,-425.8327026
140.6165179,-20.88403025,577.7474365,-425.8327026
140.6173512,-20.88403025,534.3330078,-425.8327026
140.6181845,-20.88403025,598.9995117,-425.8327026
140.6190178,-20.88403025,688.0775757,-522.930603
140.6198511,-20.88403025,688.892395,-522.930603
140.6206844,-20.88403025,614.9455566,-522.930603
140.6215177,-20.88403025,521.9620361,-522.930603
140.622351,-20.88403025,441.5473633,-522.930603
140.6231843,-20.88403025,386.0177307,-664.3690186
140.6240176,-20.88403025,350.306427,-664.3690186
140.6248509,-20.88403025,325.8808289,-664.3690186
140.6256842,-20.88403025,308.2496948,-664.3690186
140.6265175,-20.88403025,295.224884,-664.3690186
140.6273508,-20.88403025,285.3866577,-801.574646
140.6281841,-20.88403025,276.5536194,-801.574646
140.6290174,-20.88403025,267.3467102,-801.574646
140.6298507,-20.88403025,258.0245361,-801.574646
140.630684,-20.88403025,249.7357941,-801.574646
140.6315173,-20.88403025,244.0292664,-893.296814
140.6323506,-20.88403025,240.2305145,-893.296814
140.6331839,-20.88403025,235.3410339,-893.296814
140.6340172,-20.88403025,229.3237305,-893.296814
140.6348505,-20.88403025,224.2053528,-893.296814
140.6356838,-20.88403025,219.843811,-915.8391113
140.6365171,-20.88403025,215.1177979,-915.8391113
140.6373504,-20.88403025,210.8551636,-915.8391113
140.6381837,-20.88403025,206.9828186,-915.8391113
140.639017,-20.88403025,200.8766479,-915.8391113
140.6398503,-20.88403025,194.0652313,-914.9155884
140.6406836,-20.88403025,189.9001007,-914.9155884
140.6415169,-20.88403025,186.0539093,-914.9155884
140.6423502,-20.88403025,180.5302887,-914.9155884
140.6431835,-20.88403025,174.6130981,-914.9155884
140.6440168,-20.88403025,170.000351,-907.7094727
140.6448501,-20.88403025,166.385498,-907.7094727
140.6456834,-20.88403025,162.7151947,-907.7094727
140.6465167,-20.88403025,158.815506,-907.7094727
140.64735,-20.88403025,154.8501434,-907.7094727
140.6481833,-20.88403025,150.5201721,-913.2785645
140.6490166,-20.88403025,145.8419189,-913.2785645
140.6498499,-20.88403025,140.4641724,-913.2785645
140.6506832,-20.88403025,129.8220825,-913.2785645
140.6515165,-20.88403025,117.9666443,-913.2785645
140.6523498,-20.88403025,113.5783081,-945.0365601
140.6531831,-20.88403025,114.6717682,-945.0365601
140.6540164,-20.88403025,116.3094864,-945.0365601
140.6548497,-20.88403025,110.391861,-945.0365601
140.655683,-20.88403025,93.1974335,-945.0365601
140.6565163,-20.88403025,89.4389572,-934.6391602
140.6573496,-20.88403025,138.0245056,-934.6391602
140.6581829,-20.88403025,236.4323578,-934.6391602
140.6590162,-20.88403025,335.5098877,-934.6391602
140.6598495,-20.88403025,366.8858032,-934.6391602
140.6606828,-20.88403025,344.003418,-959.3308105
140.6615161,-20.88403025,312.8112793,-959.3308105
140.6623494,-20.88403025,275.9777222,-959.3308105
140.6631827,-20.88403025,239.6319733,-959.3308105
140.664016,-20.88403025,200.6249237,-959.3308105
140.6648493,-20.88403025,166.0268402,-1000.607056
140.6656826,-20.88403025,171.3224792,-1000.607056
140.6665159,-20.88403025,219.5806122,-1000.607056
140.6673492,-20.88403025,249.3275909,-1000.607056
140.6681825,-20.88403025,255.2971344,-1000.607056
140.6690158,-20.88403025,255.5461273,-1021.380859
140.6698491,-20.88403025,229.1566925,-1021.380859
140.6706824,-20.88403025,189.796875,-1021.380859
